,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Retrieval
0,1,[Yuan-embedding-2.0-en](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-en),100%,0.44,0.596,1024.0,2048.0,98.33,98.33,98.33
1,2,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),100%,6.946,7.567,4096.0,32768.0,94.99,94.99,94.99
2,3,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),100%,3.634,4.022,2560.0,32768.0,92.92,92.92,92.92
3,4,[Octen-Embedding-8B](https://huggingface.co/bflhc/Octen-Embedding-8B),100%,6.946,7.567,4096.0,32768.0,91.25,91.25,91.25
4,5,[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),100%,0.44,0.596,1024.0,32768.0,90.52,90.52,90.52
5,6,[Euler-Legal-Embedding-V1](https://huggingface.co/Mira190/Euler-Legal-Embedding-V1),100%,6.946,7.567,4096.0,1536.0,90.51,90.51,90.51
6,7,[LGAI-Embedding-Preview](https://huggingface.co/annamodels/LGAI-Embedding-Preview),100%,6.979,7.11,4096.0,32768.0,90.1,90.1,90.1
7,8,[Jasper-Token-Compression-600M](https://huggingface.co/infgrad/Jasper-Token-Compression-600M),100%,0.452,0.607,2048.0,32768.0,89.92,89.92,89.92
8,9,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),100%,7.719,7.85,4096.0,32768.0,88.85,88.85,88.85
9,10,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),100%,6.98,7.111,4096.0,32768.0,88.44,88.44,88.44
10,11,[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),100%,6.98,7.505,4096.0,32768.0,88.19,88.19,88.19
11,12,[Seed1.5-Embedding](https://seed1-5-embedding.github.io/),100%,,,2048.0,32768.0,87.65,87.65,87.65
12,13,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),100%,6.98,7.111,4096.0,32768.0,87.6,87.6,87.6
13,14,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),⚠️ NA,6.98,7.111,,32768.0,87.43,87.43,87.43
14,15,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),100%,6.98,7.111,4096.0,32768.0,87.1,87.1,87.1
15,16,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),100%,6.98,7.111,4096.0,32768.0,87.03,87.03,87.03
16,17,[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1),100%,1.332,1.565,8960.0,131072.0,86.73,86.73,86.73
17,18,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),100%,,,3072.0,2048.0,86.31,86.31,86.31
18,19,[pplx-embed-v1-0.6b](https://huggingface.co/perplexity-ai/pplx-embed-v1-0.6b),100%,0.44,0.596,1024.0,32768.0,85.9,85.9,85.9
19,20,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),100%,7.719,7.85,4096.0,32768.0,85.88,85.88,85.88
20,21,[pplx-embed-v1-4b](https://huggingface.co/perplexity-ai/pplx-embed-v1-4b),100%,3.611,4.0,2560.0,32768.0,85.61,85.61,85.61
21,22,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️ NA,1.31,1.543,8960.0,32768.0,85.38,85.38,85.38
22,23,[voyage-large-2-instruct](https://blog.voyageai.com/2024/05/05/voyage-large-2-instruct-instruction-tuned-and-rank-1-on-mteb/),100%,,,1024.0,16000.0,85.07,85.07,85.07
23,24,[text-embedding-005](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),100%,,,768.0,2048.0,84.91,84.91,84.91
24,25,[GTE-ModernColBERT-v1](https://huggingface.co/lightonai/GTE-ModernColBERT-v1),100%,0.11,0.149,128.0,8192.0,84.84,84.84,84.84
25,26,[Conan-embedding-v2](https://huggingface.co/TencentBAC/Conan-embedding-v2),100%,,,3584.0,32768.0,84.66,84.66,84.66
26,27,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),100%,0.086,0.109,768.0,512.0,84.63,84.63,84.63
27,28,[KaLM-Embedding-Gemma3-12B-2511](https://huggingface.co/tencent/KaLM-Embedding-Gemma3-12B-2511),0%,10.759,11.766,3840.0,32768.0,84.57,84.57,84.57
28,29,[Seed1.6-embedding](https://seed1-6-embedding.github.io/),100%,,,2048.0,32768.0,84.45,84.45,84.45
29,30,[e5-R-mistral-7b](https://huggingface.co/BeastyZ/e5-R-mistral-7b),100%,7.111,7.242,4096.0,32768.0,84.4,84.4,84.4
30,31,[modernbert-embed-base](https://huggingface.co/nomic-ai/modernbert-embed-base),100%,0.11,0.149,768.0,8192.0,84.15,84.15,84.15
31,32,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),100%,1.307,1.54,8960.0,131072.0,83.84,83.84,83.84
32,33,[udever-bloom-7b1](https://huggingface.co/izhx/udever-bloom-7b1),100%,,,,,83.82,83.82,83.82
33,34,[KaLM-embedding-multilingual-mini-instruct-v1.5](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1.5),0%,0.358,0.494,896.0,512.0,83.72,83.72,83.72
34,35,[Zeta-Alpha-E5-Mistral](https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral),100%,6.98,7.111,4096.0,32768.0,83.68,83.68,83.68
35,36,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),100%,0.312,0.568,1024.0,8192.0,83.63,83.63,83.63
36,37,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,512.0,,83.37,83.37,83.37
37,38,[udever-bloom-3b](https://huggingface.co/izhx/udever-bloom-3b),100%,2.36,3.003,,,83.21,83.21,83.21
38,39,[BOOM_4B_v1](https://huggingface.co/ICT-TIME-and-Querit/BOOM_4B_v1),100%,3.633,4.022,2560.0,32768.0,83.06,83.06,83.06
39,40,[KaLM-embedding-multilingual-mini-instruct-v2.5](https://huggingface.co/KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5),0%,0.358,0.494,896.0,512.0,82.98,82.98,82.98
40,41,[voyage-3-m-exp](https://huggingface.co/voyageai/voyage-3-m-exp),0%,,6.918,2048.0,32000.0,82.75,82.75,82.75
41,42,[text-embedding-004](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),100%,,,768.0,2048.0,82.55,82.55,82.55
42,43,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),100%,0.304,0.56,1024.0,514.0,82.51,82.51,82.51
43,44,[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),100%,,0.137,768.0,8192.0,82.31,82.31,82.31
44,45,[mdbr-leaf-ir](https://huggingface.co/MongoDB/mdbr-leaf-ir),100%,0.011,0.023,768.0,512.0,81.97,81.97,81.97
45,46,[Cohere-embed-english-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,1024.0,512.0,81.92,81.92,81.92
46,47,[Giga-Embeddings-instruct](https://huggingface.co/ai-sage/Giga-Embeddings-instruct),⚠️ NA,,3.227,2048.0,4096.0,81.88,81.88,81.88
47,48,[snowflake-arctic-embed-m-long](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long),100%,,0.137,768.0,2048.0,81.7,81.7,81.7
48,49,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),100%,,,768.0,2048.0,81.45,81.45,81.45
49,50,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),100%,,,1024.0,32000.0,81.41,81.41,81.41
50,51,[Tarka-Embedding-150M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-150M-V1),100%,0.106,0.156,768.0,2048.0,81.39,81.39,81.39
51,52,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),100%,0.022,0.033,384.0,512.0,81.39,81.39,81.39
52,53,[sgpt-bloom-7b1-msmarco](https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco),⚠️ NA,6.041,7.068,4096.0,,81.37,81.37,81.37
53,54,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),100%,13.0,57.92,32768.0,32768.0,81.36,81.36,81.36
54,55,[MiniCPM-Embedding](https://huggingface.co/openbmb/MiniCPM-Embedding),⚠️ NA,2.442,2.725,2304.0,512.0,81.32,81.32,81.32
55,56,[voyage-3.5](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,80.95,80.95,80.95
56,57,[Titan-text-embeddings-v2](https://huggingface.co/amazon/Titan-text-embeddings-v2),⚠️ NA,,,,,80.75,80.75,80.75
57,58,[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l),100%,0.304,0.335,1024.0,512.0,80.72,80.72,80.72
58,59,[cadet-embed-base-v1](https://huggingface.co/manveertamber/cadet-embed-base-v1),100%,0.086,0.109,768.0,512.0,80.55,80.55,80.55
59,60,[cde-small-v2](https://huggingface.co/jxm/cde-small-v1),100%,,0.306,768.0,512.0,80.55,80.55,80.55
60,61,[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,1024.0,32000.0,80.46,80.46,80.46
61,62,[LLM2Vec-Sheared-LLaMA-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised),100%,1.229,1.295,4096.0,32768.0,80.41,80.41,80.41
62,63,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,6.526,7.069,3584.0,32768.0,80.37,80.37,80.37
63,64,[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),100%,3.624,3.935,2048.0,32768.0,80.36,80.36,80.36
64,65,[embeddinggemma-300m](https://ai.google.dev/gemma/docs/embeddinggemma/model_card),100%,0.106,0.308,768.0,2048.0,80.35,80.35,80.35
65,66,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),100%,0.113,0.305,768.0,8192.0,80.34,80.34,80.34
66,67,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised),100%,7.022,7.547,4096.0,8192.0,80.34,80.34,80.34
67,68,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),⚠️ NA,0.022,0.033,384.0,512.0,80.12,80.12,80.12
68,69,[voyage-multilingual-2](https://blog.voyageai.com/2024/06/10/voyage-multilingual-2-multilingual-embedding-model/),100%,,,1024.0,32000.0,80.11,80.11,80.11
69,70,[udever-bloom-1b1](https://huggingface.co/izhx/udever-bloom-1b1),100%,0.68,1.065,,,80.03,80.03,80.03
70,71,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),100%,,0.137,768.0,8192.0,79.92,79.92,79.92
71,72,[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m),100%,0.086,0.109,768.0,512.0,79.65,79.65,79.65
72,73,[e5-base](https://huggingface.co/intfloat/e5-base),100%,0.086,0.109,768.0,512.0,79.64,79.64,79.64
73,74,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,3072.0,8191.0,79.56,79.56,79.56
74,75,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),0%,0.358,0.494,896.0,512.0,79.54,79.54,79.54
75,76,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),100%,0.011,0.023,384.0,512.0,79.43,79.43,79.43
76,77,[cde-small-v1](https://huggingface.co/jxm/cde-small-v1),100%,,0.281,768.0,512.0,79.38,79.38,79.38
